"NVIDIA GeForce 615",2017,
"ATI Radeon HD 3850",3,-1
"ATI Mobility Radeon HD 5650",3,-1
"NVIDIA GeForce GTX 960",2014,
"NVIDIA GeForce GT 635M",2017,
"NVIDIA GeForce 840M",2015,
"NVIDIA GeForce 7100 / NVIDIA nForce 630i (Microsoft Corporation - WDDM)",2016,
"NVIDIA GeForce GT 745M",2016,
"NVIDIA GeForce 8400M GT",2015,
"ATI Radeon HD 4200",3,-1
"NVIDIA GeForce GT 520MX",2018,
"NVIDIA GeForce 610M",2017,
"NVIDIA GeForce 9600M GT",2014,
"ATI Radeon HD 7350",3,-1
"AMD Radeon HD 6630M",3,-1
"NVIDIA GeForce GTX 570",2018,
"AMD Radeon HD 8370D",3,-1
"NVIDIA GeForce 820M",2015,
"AMD Radeon HD 5800 Series",3,-1
"NVIDIA GeForce GT 620",2017,
"NVIDIA GeForce GT 730",2016,
"AMD Radeon HD 5700 Series",3,-1
"NVIDIA GeForce GT 220",2021,
"AMD Radeon (TM) R9 M360",3,-1
"Intel(R) Atom(TM) Processor E3800 Series/Intel(R) Celeron(R) Processor N2920/J1900",5,5
"ATI Radeon HD 4250",3,-1
"AMD Mobility Radeon HD 5000 Series",3,-1
"AMD Radeon HD 7420G",3,-1
"NVIDIA GeForce 9400 GT (Microsoft Corporation - WDDM v1.1)",2014,
"AMD Radeon HD 7560D",3,-1
"NVIDIA GeForce 7025 / NVIDIA nForce 630a (Microsoft Corporation - WDDM)",2016,
"NVIDIA GeForce 9200M GS",2014,
"NVIDIA GeForce 310M",2020,
"NVIDIA GeForce 7300 LE",2016,
"NVIDIA GeForce GTX 680",2017,
"NVIDIA GeForce GT 750M",2016,
"NVIDIA GeForce 6100",2017,
"ATI Mobility Radeon HD 5000 Series",3,-1
"Intel(R)  Q965/Q963 Express Chipset Family (Microsoft Corporation - WDDM 1.1)",5,5
"ATI Radeon HD 5600/5700",3,-1
"AMD Radeon HD 6530D",3,-1
"Mobile Intel(R) 945 Express lapkak�szletcsal�d (Microsoft Corporation - WDDM 1.0)",5,5
"AMD Radeon HD 7290 Graphics",3,-1
"NVIDIA GeForce 9800 GT (Microsoft Corporation - WDDM v1.1)",2014,
"ATI Radeon HD 2600 XT",3,-1
