,,SURVIVED,
1484909849,drIRVSmpNpCAHYvq,DECEASED,Super_Boy
1484910280,FFxNfDHcxvKotjXh,SURVIVED,victor_pro
1484911067,SQMrzQHBpBvQXRgA,DECEASED,PSJuicyMobster51
1484911424,ykUddMDuQkSiumLZ,SURVIVED,PSJuicyMobster51
1484911847,pxzPKTzrUoFwkFmN,DECEASED,PSJuicyMobster51
1484912041,RvSckMdQAXjeKfnd,DECEASED,victor_pro
1484912108,OqFuzOwNLVCGOjkf,DECEASED,ricis
1484912232,PzllkfXiQWxkFwAU,DECEASED,ricis
1484912299,cFjKYNqUqUbHVDvg,SURVIVED,Super_Boy
1484912662,vJJjmPxZZAPqRbNE,DECEASED,Super_Boy
1484912836,jHPpKxlqOTAhNRXk,DECEASED,aminekudo97
1484912894,QKkAebUEVfDOoGfX,DECEASED,KaGaNvErTeX
1484913022,aZVUKfnxWLFtUuFa,SURVIVED,HeadyYak46
1484913223,KjfFnIvOInFQyYxf,DECEASED,TayfunFisher
1484913380,sZSycuNJzNbOgFij,DECEASED,Super_Boy
1484913580,ZdtIqJtJWGWCipHr,DECEASED,PSJuicyMobster51
1484914281,vXNGHBsRgqSwmtiU,SURVIVED,yussuf
1484915114,VVsfcjxUIlJMsVnb,DECEASED,TayfunFisher
1484915429,tSqxMYuUPhqxVKxR,DECEASED,TayfunFisher
1484915627,DfusfwMliaQHZGgX,DECEASED,TayfunFisher
1484916062,bSTEsbGASgGdUvLA,DECEASED,Super_Boy
1484916392,iyitWSmEDguRFSOW,SURVIVED,k3i
1484916496,UCLUXUNOIJjpjPBi,DECEASED,Super_Boy
1484916631,ESXpCErpavcfXKEM,DECEASED,victor_pro
1484916796,wEaPKrGYPBPfLjyR,DECEASED,(BOS)Umut
1484916872,suITqXMOqQWEcrRY,SURVIVED,(BOS)Umut
1484917431,TYtXHfTqrPCosShq,DECEASED,[007]Erbol
1484917709,dlridqjdHUgKUZqR,DECEASED,k3i
1484917901,BsmKFtrDvGOkpycX,DECEASED,aminekudo97
1484918083,OvCPtFZbqmriXmJd,DECEASED,[007]Erbol
1484918428,BrRJPsWfhZiwWTVN,DECEASED,MarusNumeRus
1484919347,fFVLXxDxWSPyVdhl,SURVIVED,smoug12
1484920251,EdLbdDgcZPWshlCi,SURVIVED,cj23
1484920775,aJWOterjhgGBMmBS,DECEASED,AheadHamburger26
1484921433,IRlKofvzcrkkUtJT,SURVIVED,victo83
1484921533,nafcTnzedrLqmIDF,DECEASED,YASSER
1484921739,zGbrtmZKXgJynNdO,DECEASED,Ezenlord007
1484921792,TDfFmdatzbTPkLuw,SURVIVED,FioleG
1484921936,ztuoZsHwxPNtyurp,DECEASED,Cnokzzzzz
1484922193,voeJzVgwWESsJRUt,DECEASED,TayfunFisher
1484922361,bfBjsyPYnyFtMzJa,DECEASED,Mcman21
1484923065,ToOEVDymWBFOTbRn,DECEASED,YASSER
1484923202,xUFFYpAaFCpczQrs,DECEASED,YASSER
1484923481,MqUQbaoGtHHswxuT,DECEASED,Sr.|Panda|M4
1484923680,jZlKXrHnMrIADqqP,DECEASED,Sr.|Panda|M4
1484923814,vgmHJDMZkONWlmch,DECEASED,InnateBowler15
1484924077,WDGcllaLuQsrEltw,DECEASED,carsonchan3250
1484924179,IlEFetqwhZdGUHGH,DECEASED,Max
1484924248,QEQjLFsQiXdWiRXg,DECEASED,Max
1484924877,LbIobLLPcjCqXbBr,DECEASED,Max
1484925451,KgKBftDkDKrQTUTh,SURVIVED,InnateBowler15
1484926361,PesXsKRRtvRVLvlG,SURVIVED,JERSON
1484926525,zbJFcweuFYGbBZvK,DECEASED,JERSON
1484926773,rUotkzikBHrqgLbK,DECEASED,JERSON
1484927155,JzuWoiuVtjCynDSm,DECEASED,nacho
1484927223,kTUNLmkeFjBDgSuG,SURVIVED,InnateBowler15
1484927395,yhXkuGTgbKatFimH,DECEASED,DifferentEyebrows5
1484927508,TBSceVRkUjCFJDRj,DECEASED,Killer
1484927608,IceIJPgmykpOcXVg,DECEASED,JERSON
1484927820,iGycAJTFCVNREuKv,DECEASED,carsonchan3250
1484928064,SVIyixVbbiOoFVQE,DECEASED,VerdantPolicecar68
1484928199,icmUgNUfTyMDATHx,DECEASED,ClammySectional58
1484928596,xkJJAJOvJfdICFBU,DECEASED,LuisEduardo
1484928766,fHjaOSVudmyJNjXi,DECEASED,InnateBowler15
1484929007,vJCaNNLxzYYfxrVc,DECEASED,shahriar
1484929264,INXuYsWOgrxNOrnj,SURVIVED,Killer
1484929463,cEsnEKeAGlmIXXTj,DECEASED,LuisEduardo
1484929550,kxlTWyKDoznBIBdh,DECEASED,Ozkanbaba123
1484929693,TuttcYTQNIYLvczg,DECEASED,ProStreet|Leksi
1484929828,TtHQwBosuPSkYMXo,DECEASED,Bogdan_Volk
1484930304,TUEeqQcsNJZlihbv,DECEASED,LiterateEland50
1484930416,umAmQFHqFKEUNBDN,DECEASED,LuisEduardo
1484930499,jvPSyBtphAQiXrcK,DECEASED,neymar200
1484930727,KTIzxtEuGERhbkpv,DECEASED,neymar200
1484930806,LQmJWhHxPliopFoj,SURVIVED,Egor_Volk
1484930928,fuiGmAOcOOJSdglH,DECEASED,InnateBowler15
1484931068,PZEbRDegEjISofkw,DECEASED,neymar200
1484931427,PqlRzXhNWjdDNCId,DECEASED,InnateBowler15
1484931697,aLMjPNDAZNgHoZxT,DECEASED,DifferentEyebrows5
1484931922,kfOffylmBYzmExjQ,DECEASED,Rostick
1484932346,VbyQmpNTrCIbnlrc,SURVIVED,Rostick
1484932725,JqVAihbupvtLgsRR,DECEASED,InnateBowler15
1484933169,cCzTVOilOrPjNezY,DECEASED,Ozkanbaba123
1484933837,MrcAOZPLjhEQItUk,SURVIVED,Egor_Volk
1484934389,oNwThWWUSLolYnWB,DECEASED,ThirstyFuton4
1484934536,XcFcyzkAeFRPPXBO,DECEASED,InnateBowler15
1484934713,FMhjhucJwzzWPLLA,DECEASED,Egor_Volk
1484934911,bJPEaTIwrULoUUrw,DECEASED,OddHip9
1484935072,IiavmgjRcQsAERii,DECEASED,friv47
1484935184,OfWmYbCRsQjVVDRS,DECEASED,k3i
1484935297,cbbKLANJpqrUehty,SURVIVED,k3i
1484935450,vFXHZNNitkiMfMTH,DECEASED,luiz787
1484935554,qUCgDstsvdRKCKvI,DECEASED,7ooda
1484936467,nZosZQYPDAunpVvV,DECEASED,neymar200
1484936547,ScVSHXukbSIhrGLf,SURVIVED,luiz787
1484937465,BFQmylpARUVCqeCN,SURVIVED,FiLs
1484937666,pdmBgCFWuGiEANvL,DECEASED,kasparito3
1484937841,vxsKOWmngNwpEXcS,DECEASED,Egor_Volk
1484938104,sothBfGYZaLLBleF,DECEASED,IncrediblePigeon8
1484938507,CCKZpkdPiXqOjpls,DECEASED,jethro
1484938698,tINPEtBEASpXWzYV,DECEASED,R1-one
1484939601,MItQzrxINYlfjvxr,SURVIVED,Ryder
1484939690,ioOWkEvDieOkyvFV,DECEASED,LOLA
1484939808,cMEeuaUiemjXofCg,DECEASED,kasparito3
1484939974,CTFhPLcgBfaYBMkD,DECEASED,#[Thug_Life]
1484940286,YRgDJpBmTkTmitMQ,DECEASED,Grzesiek007
1484940371,WGGUoIFAHKPdLliq,DECEASED,"""WP#JaDeDFounded"
1484940909,JqdfeZYejdbgcmKN,DECEASED,CruelHotdog39
1484941219,MlBzvuAYrSMcpSDq,DECEASED,General
1484941679,wAsHSdReLwFHEeDC,DECEASED,Ryder
1484941821,dGpHcZIoHhzyGKsi,SURVIVED,General
1484941988,pctYdMTZKWcAdbEH,DECEASED,R1-one
1484942140,chnxgzquuMSQChOM,DECEASED,Ryder
1484942321,EpIFoTxerNdBIkHg,DECEASED,Ryder
1484942481,bYxMzsdsasTmtEtP,DECEASED,MT#Ninja_Blade1234
1484942603,hlfDsIuPbWBpKIdd,SURVIVED,General
1484942835,rltYkZBLxUJwnbYA,DECEASED,General
1484943004,XdbMQSQhCxQSqAcj,DECEASED,Ezenlord007
1484943108,QKdtHJALWTeFnTFm,DECEASED,PremiumNinja99
1484943254,RrjgXnJszEPOFcPW,DECEASED,StrongPluto65
1484943553,FHyPLispXVLAfmGX,DECEASED,PtaSaladCantSee
1484943795,JRGBrxxqOplSRiiu,DECEASED,xMassFsN
1484943928,xlDaBoOejJeZosju,SURVIVED,cj23
1484944053,MqmFlDLKLLcHJqNN,DECEASED,KaGaNvErTeX
1484944215,WpsnDZCdcJiITJZG,DECEASED,junior
1484944455,YWSqYyZjoxPxMdTT,DECEASED,Bogdan_Volk
1484944664,RHHkenAGOnBiNaiu,DECEASED,IncrediblePigeon8
1484944772,CGszrkbrueYTNsfk,DECEASED,PremiumNinja99
1484945055,QKqWEpYRxJUrqXys,DECEASED,Rostick
1484945192,semwgEOtKLAAQBYr,DECEASED,AmuckDrum12
1484945311,ONupObHujjUluBEM,DECEASED,PremiumNinja99
1484945504,LtfljhXWOjikxrbt,DECEASED,NappyFuton15
1484945684,UKPyqLSMlXWyCJDr,DECEASED,IncrediblePigeon8
1484945818,FtFXxuPGTPwrODnz,SURVIVED,pro_killer
1484945994,cHeQsGSLUFGBMfWO,DECEASED,IncrediblePigeon8
1484946169,pOnnbXVfjJfLNItg,DECEASED,IncrediblePigeon8
1484946435,WycezcJfeuRzzruk,DECEASED,Rostick
1484947337,DWDyhrlcdWoFHXlu,SURVIVED,Rostick
1484947588,JmULTLTvlDUdIohA,DECEASED,bandan
1484947954,XdngfWZoXdsORWEM,DECEASED,CooingPen12
1484948210,mySobGEWVKZcnqLd,DECEASED,PainfulEstuary88
1484948286,ijtvhnSBtkLaMmGz,DECEASED,bandan
1484948411,JhUPovBulTyJUooE,DECEASED,DashingApe20
1484948824,mbcjrLUpsRsaWsli,DECEASED,Ryder
1484949027,YpmurrmyuUQWxwqD,DECEASED,junior
1484949089,HEOhBRwisxytxZWO,SURVIVED,DashingApe20
1484949471,OWYHExmiPqlTQYwg,DECEASED,Olexandr427_1
1484949865,nbnsPLEoqMksstHz,DECEASED,AcceptableFairy6
1484950086,cXSDwyaeqejtwjlL,DECEASED,bandan
1484950192,KxQUyWdFODecrzSo,DECEASED,PopcornxDxD
1484950309,KONDKnBbeafCdCLQ,DECEASED,IncrediblePigeon8
1484950463,RImzMGJnxOnumaSp,DECEASED,Bogdan_Volk
1484950584,SaZUHNPulcvQOOTm,DECEASED,AcceptableFairy6
1484950686,nZxQQXCZuYGtVdzQ,SURVIVED,mruwczus
1484950801,SGzHTPAvKxEoSiHQ,DECEASED,Bogdan_Volk
1484950917,sIeXOfcknpOkugKc,DECEASED,AcceptableFairy6
1484951170,iXMTOhkMVAXTLBZY,DECEASED,Bogdan_Volk
1484951343,lmzJTGwtZgBjSMxp,DECEASED,PopcornxDxD
1484951486,iHrAsRWXaOGawGxi,DECEASED,bandan
1484951638,ycoJiuVjPOYXBaUI,SURVIVED,Bogdan_Volk
1484951897,WkZtWuNskMRnOSPd,DECEASED,bandan
1484951991,ejSRngoSNDfWZHiu,DECEASED,YoghurtBoy
1484952086,MpesfLxuvUIatbPN,SURVIVED,Olexandr427_1
1484952196,frVakwiTzSxtimCH,DECEASED,YoghurtBoy
1484952304,WdxXxzlsNqdWPlLh,DECEASED,LuisEduardo
1484952398,GBngQQGCamQhxmoU,DECEASED,General
1484952495,mDvbAlEuzvyTyUyO,SURVIVED,CreepyChalk92
1484952573,lQZNVWMfiKsORNtS,DECEASED,PtaSaladCantSee
1484952650,GsLbBbqgEqDuWnNN,DECEASED,DashingApe20
1484952791,mhVLDYSxYlppvkQO,DECEASED,AdjoiningRaccoon57
1484953088,BGbWDFGGoPmkxPdX,DECEASED,bandan
1484953690,kmRanWGGQXsZGFTa,DECEASED,Mr.Link
1484954213,uifdetkDTOtNrZAp,DECEASED,ZaKe
1484954348,IyIunGUgVhuNMLpC,DECEASED,bandan
1484954492,ykHGYZwllzlXuzqJ,DECEASED,NeZo
1484954740,XNqfrkDqECuxvIQN,DECEASED,ZaKe
1484955256,SclVnWalRTBXKGAk,DECEASED,MrJohn
1484955393,wNZoIbcnrjgXPHEy,DECEASED,"""WP#JaDeDFounded"
1484955544,yNGCLHEWdsWuoAec,DECEASED,ZaKe
1484955703,TojVVvVBasINBFkD,DECEASED,NeZo
1484955954,dcGcBQwchIdQwuRu,DECEASED,HS~CreW
1484956406,xiVuYylsbjeMdpYd,DECEASED,Mr.VicStar
1484956622,ajibVhUgCimYONPw,DECEASED,PtaSaladCantSee
1484957515,eSOwVtKkkJCEtPBK,DECEASED,PremiumNinja99
1484957781,NJwHHmShxXiQjvkl,DECEASED,[HELL]|X>IMARA0<#MW
1484957855,zEbVyHBiXqkQptwO,DECEASED,"""WP#JaDeDFounded"
1484958015,AwmflVdQosyruoUl,SURVIVED,[HELL]|X>IMARA0<#MW
1484958729,lINybWgcoErHxvam,DECEASED,[HELL]|X>IMARA0<#MW
1484959140,IlMFYSXAQeGItqcg,SURVIVED,PtaSaladCantSee
1484959713,cdPPwggcQDyWhicN,DECEASED,PremiumNinja99
1484959984,oXAYGJWJAOkKwWdN,SURVIVED,junior
1484960472,FqoIaRDUMQPRkJZb,DECEASED,junior
1484961342,ZKnXqTuGLGTtxYye,SURVIVED,CruelHotdog39
1484961450,CGproPCXHwZpXfAJ,DECEASED,Mr.terrorista
1484961686,xdVQuaqWptlfWirM,DECEASED,PremiumNinja99
1484961965,uxHRHLxgPgfDVAnE,DECEASED,PremiumNinja99
1484963803,yzkZbFoduxajOBfm,DECEASED,xMassFsN
1484964013,IZjodEvHLZqDlLxt,DECEASED,xwarriorx
1484964428,npJTCeKCJSIzUEaM,DECEASED,IRINEU
1484964493,UzZMEEibKgzbqkRs,DECEASED,PremiumNinja99
1484964583,AeglmVoynuHPbCNR,DECEASED,Pock88
1484964651,ucXzNRuNrsGODSKL,SURVIVED,IRINEU
1484965172,GRNTZuzfELQLvrcb,SURVIVED,IRINEU
1484966227,giTNbpKYSQmuJjXz,DECEASED,xwarriorx
1484966342,SsqYKFhPjoLXtqew,SURVIVED,xMassFsN
1484966476,HZkUYjoHSKGlwWBP,DECEASED,IRINEU
1484967336,hBnNtcPuUTYUdcSB,DECEASED,WHUEZO
1484967946,AxkvsVMfmBODvqLM,DECEASED,WHUEZO
1484968176,JAnafQvivghpXhUJ,DECEASED,xwarriorx
1484972629,xqjhNfpSYpNSXgvM,DECEASED,HeadyYak46
1484973020,HSybyfnxsHNUFGiE,SURVIVED,HeadyYak46
1484976650,JReBbCabZtkpUpMg,DECEASED,#[B.D]SUPERenergoVIP
1484976914,yyCKPkytIGYhcxXY,DECEASED,#[B.D]SUPERenergoVIP
1484977526,OzZqSyxlWuPhDfMM,DECEASED,NastyTrooper14
1484977617,kxPYWUkVXVWXGaWA,DECEASED,NastyTrooper14
1484977752,eIsBJYTSqgOUTyDY,DECEASED,NastyTrooper14
1484978253,DwqDgxYNvuYyGBxz,DECEASED,NastyTrooper14
1484978301,aaYGqCuYJzFiMYoE,SURVIVED,NastyTrooper14
1484981910,qJLNUouGWSmKOwfe,SURVIVED,AshamedGiraffe39
1484983262,erbxVZnSJHZqFvRS,DECEASED,AshamedGiraffe39
1484983965,AyUMsBAautFFvXaz,DECEASED,AshamedGiraffe39
1484984328,aQtbyRFIblVPAbDx,SURVIVED,HeadyYak46
1484984826,lMJeuucipsbtkLqK,DECEASED,HeadyYak46
1484985360,msEwtarHdAIMNdaJ,DECEASED,VerdantPolicecar68
1484985526,cKqAAYFgqHEGduoj,SURVIVED,VerdantPolicecar68
1484985752,OqmytLKLjmFPcDJD,DECEASED,*_*((AcHrAf.DZ))*_*
1484986123,mJsrIBtufXrDrqzn,DECEASED,AshamedGiraffe39
1484987020,oButyxbCOQGbVUZA,DECEASED,VerdantPolicecar68
1484987103,xYqlRmYVvudEoCnN,SURVIVED,*_*((AcHrAf.DZ))*_*
1484988024,JuSpnUVQqouYFzDQ,SURVIVED,SUPERenergoVIP
1484988486,qivtJtDJCRNbZKUA,DECEASED,SUPERenergoVIP
1484988741,cqOPCWAWYpnlMygv,DECEASED,InnateBowler15
1484988886,GGkwuVmMzlHgIjuc,SURVIVED,HeadyYak46
1484989285,LlcTTUlinkqRZHrZ,DECEASED,HeadyYak46
1484989411,HubDyacorHnVuXfC,DECEASED,SUPERenergoVIP
1484989521,JJyTEUSQZOJYYQjx,SURVIVED,SUPERenergoVIP
1484989744,tqkOFJZKWdOSsKNM,DECEASED,NastyTrooper14
1484989811,cSFxyqNeqTAsRmGs,SURVIVED,MT#Ninja_Blade1234
1484989942,JwWOFMOmgtxUXInI,DECEASED,NastyTrooper14
1484990847,ZuxBZcoYxPokUblX,DECEASED,[007]Erbol
1484991269,CdRSkwAhJYbbNSRh,DECEASED,Ezenlord008
1484991362,TdVyUVtHYPUOYihD,DECEASED,InnateBowler15
1484991497,sZaDVHcmDznQjIKB,SURVIVED,Snowy
1484992393,pOoxwTVqCuqnWMil,SURVIVED,{K.Z}kana_06
1484992573,PCEYOKWhIgwZEozU,DECEASED,[G.H]SheRma[N]
1484992809,lSlTrooOwNyPPkiq,DECEASED,TestedMercenary86
1484993828,vILcSrMdqryXizEe,DECEASED,TestedMercenary86
1484993970,TPKsIAZsNkpkYDFm,DECEASED,MT#Ninja_Blade1234
1484994337,cJsWenqUaYmlmxjs,DECEASED,ObeisantDhow27
1484995237,cLfdXKRfkzHphSgM,SURVIVED,ObeisantDhow27
1484995369,HvDJVqybtDJJhqpy,DECEASED,NastyTrooper14
1484995581,XgNyqcJPDNemfdHn,DECEASED,HerobriNe
1484995837,DCaGUawfiMmSeIax,DECEASED,[G.H]SheRma[N]
1484996681,LXFECwlYQKsJvRdu,DECEASED,Cnokzzzzz
1484997593,xEvtZGASJoaaMuny,SURVIVED,Ryder
1484997932,hRmWOiPECAPpTdCD,DECEASED,YASSER
1484998231,xYmsHffEZNljFdvK,DECEASED,[007]Erbol
1484999072,fhMXJYXtgjLMvugW,DECEASED,[007]Erbol
1484999383,kPdgDqYnuySAGlKa,DECEASED,HS~CreW
1484999734,VDWluHvOfUcJuKFL,DECEASED,3aRa3a
1484999880,RcvHFqQQtwIavahL,DECEASED,NastyTrooper14
1484999941,WDAikfsBDVilTCKr,DECEASED,MarusNumeRus
1485000417,yptVbbzTEkEZzyJy,DECEASED,3aRa3a
1485001240,fSJNTlmRrLWIZBJo,DECEASED,TestedMercenary86
1485001391,RpwiOcyysKJtdEpJ,DECEASED,3aRa3a
1485001560,VNXTxSehbfdBymNi,DECEASED,Andriuxa
1485002440,qRToDlGGtuhUjiXV,SURVIVED,TestedMercenary86
1485002808,YrWAALFbEqWzcknp,DECEASED,TestedMercenary86
1485003446,oNZQrUtqbVcnRGSA,DECEASED,Mirmohammad
1485003561,JOWUbSwWPXaOooLG,SURVIVED,linkam1212
1485003679,FnFTnrgRqiIBqiwc,DECEASED,Mirmohammad
1485003832,MpNynfhXBfRJMvwh,DECEASED,Sasha_Tomakh
1485003955,MTfrfhBCrVTLCrCN,DECEASED,ElectricTeen58
1485004078,VfMTnKJWVuibcJne,DECEASED,Sasha_Tomakh
1485004237,nXRMaudYcbnJxVni,DECEASED,ElectricTeen58
1485004741,vZKOFwrceZYTqurO,SURVIVED,TestedMercenary86
1485005050,zooqHxkKSOIEjFOW,DECEASED,Mirmohammad
1485005317,PoFDsnSYtyoqiPqZ,DECEASED,victor_pro
1485005512,nlXdQIVQDPrjysCF,DECEASED,RoDoTo
1485005689,JzCXBtjBOstpDAkY,DECEASED,[MTW]patric897
1485005957,qCcBEXZRusFfwFsk,DECEASED,ElectricTeen58
1485006091,ASquEAdcJjcKweSj,DECEASED,PhobicMayor41
1485006907,yJkLjIUSacaGvaNW,DECEASED,MoroccanIIGamer
1485007433,MjYZPqmmANrVZIwf,DECEASED,7ooda
1485007566,XVauvWgzYrjXpSyq,DECEASED,AshamedGiraffe39
1485007687,HzrLZvsvpaCmeCqu,DECEASED,WiiillliiamSV
1485007817,IPfglcsQbEnstIoY,DECEASED,MoroccanIIGamer
1485008048,ZbcWeZsYgGKZGcia,DECEASED,7ooda
1485008366,mjsXRmkoIyufnXnO,DECEASED,linkam1212
1485008542,OeyjzTkniHlVhNkd,DECEASED,MotionlessTypewriter48
1485008866,hfwOGPaoKYnvbTVA,DECEASED,MoroccanIIGamer
1485009082,hchXHhokugeWkAKr,DECEASED,General
1485009258,WKwFAVASWkPcGxds,DECEASED,JuanDavid
1485009401,JEHWufJvIwZORUWO,DECEASED,Sr.|Panda|M4
1485009485,aJQoUirJilyqOTJH,SURVIVED,Mr.Helicopter
1485009550,LlnGWAyobpwNzniy,DECEASED,CurvySpine98
1485009798,clbZYoFVshfjFLwc,DECEASED,Mr.Helicopter
1485009944,LEWYqGzHdvHOYUyG,DECEASED,General
1485010437,ItLySjLMSixsskPg,DECEASED,PhobicMayor41
1485010740,XhAVixQBRebAjPtz,DECEASED,CruelMother76
1485011193,mgdXIZYEohivEPtK,DECEASED,General
1485011478,IaLkHbsarWRdItxu,DECEASED,Sr.|Panda|M4
1485011622,TVDcPiIKmfQQnOUL,DECEASED,dzaurov
1485011752,tTWroBLjzdLLjHar,DECEASED,Sr.|Panda|M4
1485011796,dqXjvWAJckQkFuvo,SURVIVED,Sr.|Panda|M4
1485011987,uQNcKwhNdKwfozto,DECEASED,Sr.|Panda|M4
1485012868,sUXtZcReEavkgAKB,SURVIVED,victo83
1485013130,RSSLWwOgctaxySWf,DECEASED,General
1485013309,BETqUrZwnUkxuZRJ,DECEASED,InnateBowler15
1485013476,bWJmUWNJWTykzqHZ,DECEASED,FiLs
1485013590,OEzTbhEylYrZTcrU,DECEASED,MrJohn
1485013829,RYjciEPDXxMbtVMN,DECEASED,Mr.terrorista
1485014661,OHmqqLsReFLLfNOw,DECEASED,General
1485015017,QiLOIPLcsFOPnydy,DECEASED,MoroccanIIGamer
1485015237,PlxrWsLkzgRSGQJg,DECEASED,Mr.terrorista
1485015333,PbYnqgqvPpHpMdrA,SURVIVED,Ozkanbaba123
1485015534,LsUDtcdJuUNYWxPK,DECEASED,FiLs
1485015752,NnzjBcHZCsVVzzeW,DECEASED,Mcman21
1485016463,dsXniKLuZeaPFhcl,DECEASED,Mr.terrorista
1485016743,IJPdGNzCqcBFuaoU,DECEASED,FiLs
1485017192,NnMpGAoeXVicRked,DECEASED,FiLs
1485017543,bKMZqlgWfIJsgWdW,DECEASED,Laiongameplay
1485017867,cGmKBchTlHmVtkJh,DECEASED,MoroccanIIGamer
1485017958,gmfjnJcKXcawlDBW,DECEASED,Mr.terrorista
1485018700,PWSvtpXbXEApUyTW,DECEASED,NaMaIkAtI;)
1485019426,ihXIjoPpmXqkaaWQ,DECEASED,General
1485019559,UBqkCSapDOOeSWSG,DECEASED,MotionlessTypewriter48
1485019729,VQRTVdTwNBiZeRxs,DECEASED,dzaurov
1485020241,lglgJiQPpOxTZPKv,DECEASED,aminekudo97
1485020361,AwQQhHzoIXlCaImR,DECEASED,mruwczus
1485020657,TEeFcZKqJqkfgnsZ,DECEASED,MotionlessTypewriter48
1485020909,EbRosXpQdrNMACXn,DECEASED,LushMechanic85
1485021152,PSMfDcgjoGNPbzlp,DECEASED,Pock88
1485022067,pHZrbBeXzjCUAOsL,SURVIVED,BloodRapper
1485022428,meATwTIpmTPtQhco,DECEASED,BOPE|SDD.sr.csaero
1485022731,RiEXpeSNxRrdMLsT,DECEASED,danstone
1485023002,fwCsPQSznjLcTZjQ,DECEASED,PhobicMayor41
1485023506,uMlkdMitXUkSXKtI,DECEASED,FabulousEyeball6
1485023658,GGwUDDWSOzJaJKXL,DECEASED,BloodRapper
1485023774,hojHXTvPhMlwuUUz,DECEASED,PhobicMayor41
1485023995,CWgHVLDDVJOraheB,DECEASED,PhobicMayor41
1485024420,YKEbpIjbaBOSjrXm,DECEASED,PhobicMayor41
1485024529,uFnvmgmdTBvWyDXy,DECEASED,AntonioElTristeza
1485025443,tozogerVZSrjtwBc,SURVIVED,PhobicMayor41
1485025712,JPDlKbLGJWREtQai,DECEASED,NappyFuton15
1485025950,yrqazmVsEykzOgJW,DECEASED,Laiongameplay
1485026293,ZrGOiMHDOhHJgjGP,DECEASED,ThugLife
1485026756,cJOJjlQZMlMObSht,DECEASED,YASSER
1485027050,ZbuLMHAucFEDFyND,DECEASED,IRINEU
1485027231,OxmwIATQLgbbmqzS,DECEASED,LOVER-----BOY
1485027424,WvbGPYkLfhThvtub,DECEASED,ThugLife
1485028245,FRfKiBxRVWWniTPk,SURVIVED,dzaurov
1485028555,aLasHhFwqFSTKQks,DECEASED,Leksa123
1485029470,pqIQXMVusxeukizn,SURVIVED,ThugLife
1485030361,ojnOLebFyKgKbmbQ,SURVIVED,PetitePepper16
1485030595,IKbwmFdTKYLrPBuI,DECEASED,LOVER-----BOY
1485031026,hbRckeemBUpmxsbM,SURVIVED,PremiumNinja99
1485031101,OjDVRMQaAljORTZn,DECEASED,MeltedBookcase80
1485031433,OGXykUwJHPogGoHk,DECEASED,Ozkanbaba123
1485032340,awtrAFzKAljlWOFu,DECEASED,junior
1485033004,UHSIIlQcIvSAGbns,DECEASED,Ozkanbaba123
1485033315,lIwRiToXmkySrYgM,DECEASED,[HELL]|X>IMARA0<#MW
1485034052,uVAdFNLgzMuOWiEF,DECEASED,bandan
1485034179,BAFWERylNiqCAiXv,DECEASED,junior
1485034390,nvRfDaixSVYKrlOd,DECEASED,Yaraya
1485034601,mXqjsgWgNGqGmzFd,DECEASED,junior
1485034735,mNqbTtGRQriTdHZZ,DECEASED,ExcitedMetronome89
1485035346,JyQCfVBOlsVPciFv,SURVIVED,AcceptableFairy6
1485035514,NElDRnJhMrQUMFGv,DECEASED,[HELL]|X>IMARA0<#MW
1485035670,uGytzMjvpEhcnpZJ,DECEASED,CreepyChalk92
1485035740,kPxdDXebCuXKGmdn,DECEASED,[HELL]|X>IMARA0<#MW
1485035915,bPvlUqBCIksKODgs,DECEASED,Laiongameplay
1485036138,panzdjsHKVTGjGfM,DECEASED,Mcman21
1485036272,ZfAPPhUWEGzRLfSk,DECEASED,NappyFuton15
1485036544,yAvpLKmsGQWkbGWc,DECEASED,jethro
1485036672,jEKebdFecTTpkKxQ,DECEASED,KnottyFootrest50
1485036814,GunptqWTcYhlfnDR,DECEASED,jethro
1485036964,XuCfArrUJYcbjahv,DECEASED,DONALD_TRUMP
1485037243,kJloPiGmcxcrudkj,DECEASED,Laiongameplay
1485037381,tzaNzNQTHYhfJJgP,DECEASED,CreepyChalk92
1485037507,EOXJxPjEPYmCkIUh,DECEASED,NappyFuton15
1485037653,KuFYcuELpGhlXXXF,DECEASED,IncrediblePigeon8
1485037771,HNiuMtuHYadXKoUi,DECEASED,ExcitedMetronome89
1485037903,VdCJOxFeaDXWJNMh,DECEASED,IncrediblePigeon8
1485038348,QbeepytUhjpcVAmD,DECEASED,Jair
1485038492,pKdKOgPYnEanGOlM,DECEASED,DONALD_TRUMP
1485038690,OEjkFgipGQhcyCLq,SURVIVED,DebonairColon45
1485038831,FKDiwyFfROqCvvDK,DECEASED,Mcman21
1485038951,KmzlOrwxYFelvwfG,DECEASED,PainfulEstuary88
1485039108,gLBxyLqdzOPhRJGX,DECEASED,DONALD_TRUMP
1485039259,vBgFHEDVeOWwiVgS,DECEASED,Jair
1485039470,TTaoVUHeerTXJzzc,DECEASED,MammothOrange40
1485039582,gJHqHFKSrxWOCVUW,DECEASED,bandan
1485039727,ekPgfgSSwkplpzIX,DECEASED,MammothOrange40
1485039987,AnOJzXgWFFrlxlsC,DECEASED,CreepyChalk92
1485040185,iiuvuFmZJhcbRAlk,DECEASED,ExcitedMetronome89
1485040260,yzLBMAExAOoOANtW,DECEASED,ExcitedMetronome89
1485040343,rzgWLUEqjVongcDA,SURVIVED,CreepyChalk92
