,,SURVIVED,
1481202686,VeoKGJtNovCpiIbR,DECEASED,ToweringEstuary16
1481202862,pgxVyxhfzftYgEEg,DECEASED,MadDragon777
1481203531,cKSbyoXSnmyIfUDX,DECEASED,SWAT1
1481204049,ruxoCsSEEQUGgfzP,DECEASED,|BT|4rii^^
1481204968,eqkARnbgrkfMOvjM,SURVIVED,Angel12
1481205322,FJMfaxRalrjILNHa,DECEASED,iki
1481205606,dRNAjPmCpikAdAsP,DECEASED,|BT|4rii^^
1481205789,CPDNmTcHuHHNmEVG,DECEASED,Spanish
1481205939,JhowXQhiqsgQPYMg,DECEASED,Spanish
1481206044,xqGRCfLvKAbRfBrp,SURVIVED,Spanish
1481206733,kjcqslwjrQqZCCXA,DECEASED,Anto
1481206951,eGrorAvtxvfIqnuO,DECEASED,SamCruz0511
1481207098,XohyKMOkklzkjInp,DECEASED,Anto
1481207249,eHIkEHThrSZudrhk,DECEASED,|BT|4rii^^
1481207392,phqJtLIKWxWAxhPZ,DECEASED,"|BT|/\/\"
1481208300,zMArTEwtUrwRYIaR,SURVIVED,anisa123
1481208713,erZLNxoDmSLTtrJI,DECEASED,carsonchan3250
1481209620,jKJYjLRfOlItAUOh,DECEASED,{MM}Antonipro
1481209844,dlKQvoeGIctiGXCv,SURVIVED,Spanish
1481210434,pJICILmbStKEvDcM,DECEASED,carsonchan3250
1481211182,NGAFCUaiVAJBpOla,DECEASED,Spanish
1481211287,sovXRaELCvQwIUse,SURVIVED,[AGZ]Sr.PandaCraft
1481211411,aJOVqBNkgGDDenRe,DECEASED,Spanish
1481211556,nhnUKWiLlqRtGyBH,DECEASED,(PL)Grzesiek007
1481212204,DONQiWsOQlQVXxPV,DECEASED,(PL)Grzesiek007
1481213115,sVHoXnZKfiXsXPXa,SURVIVED,Spanish
1481213773,qiynZMESLzrCwfwl,DECEASED,Spanish
1481214049,pUUtoKwllKyIINWC,DECEASED,{MM}Antonipro
1481214226,KoMhEcHzSjgMVLqE,DECEASED,UnequaledChair54
1481214515,cmqvfEJolJFxvNMf,DECEASED,GtkArmy
1481215063,tacXShmafjwQSCXL,DECEASED,Mrcogsmanati
1481215274,jImjGiGzwzsflJKc,DECEASED,Keita<3
1481216011,PIwPgQxuiIcVpERf,DECEASED,Spanish
1481216297,DHGQUtNSuASaQWux,DECEASED,GtkArmy
1481217217,xtOZZxSXhmkWEIAH,DECEASED,_pierun
1481217335,iTqAWyHUpMJvjHKX,SURVIVED,Carlox
1481217536,MYshRJzNhktFPrwt,DECEASED,_pierun
1481217613,VSETajOHHPjbFIfz,SURVIVED,Carlox
1481218137,GuHxJsvkbvRyRdVm,DECEASED,_pierun
1481218271,sFYNzCVKEQfcFLeU,DECEASED,(PL)Grzesiek007
1481218375,IxhesSpOZEkRGBzy,DECEASED,kozasmenia
1481218520,JLuhmHCkwUPPEriW,DECEASED,eS|AK@$H
1481219414,lTRDyThcuFyCfups,SURVIVED,GleamingShofar13
1481219626,hzvjoQxrYqYYfGij,DECEASED,RayDor
1481220045,ciubnBGupMRGTCtH,DECEASED,Sulcanito
1481220360,jJiBhReINNlsQIgw,DECEASED,worldones
1481220573,LTHEUcVuSNCGbhsc,DECEASED,eS|Dewan
1481220698,OsAnvcsumMYMrrrV,SURVIVED,RayDor
1481220898,qQQpgzYcaXeYHgPD,DECEASED,MadDragon777
1481221812,pnHDETiCrxCOLIYy,SURVIVED,worldones
1481222206,LvNmeWZzTclzBvNO,DECEASED,ivailo
1481222275,ucxtBMMafUTTwIyp,DECEASED,Friendly
1481222378,CaNjROSqUcBbMKXQ,DECEASED,MadDragon777
1481222570,DXPiDwWVVdPrUxzS,DECEASED,SolidWrap29
1481222774,zIFbvWeCLdpfeaPg,DECEASED,SpuriousShofar14
1481223178,HzWpABngyXhCklKp,DECEASED,SolidWrap29
1481223284,FpmOYKByodvFHsKO,DECEASED,KILLER123
1481224021,QMCTTNMDMokUxDRg,DECEASED,#|h4x|_Gyu_
1481224527,YnDeguuZtuJiBZGb,DECEASED,xwarriorx
1481224690,oiHJPusVWQohwnNK,DECEASED,ThinkableConductor65
